A Spanish government source, however, later said that banks able to cover by themselves losses on their toxic property assets will not be forced to remove them from their books while it will be compulsory for those receiving public help.	compulsory	easier	possible	done	free	difficult	available	better	beneficial	allowed	provided
Rajoy's conservative government had instilled markets with a brief dose of confidence by stepping into Bankia, performing a U-turn on its refusal to spend public money to rescue banks.	instilled	provided	surprised	injected	shocked	left	presented	hit	supplied	delivered	stunned
War maniacs of the South Korean puppet military made another grave provocation to the DPRK in the central western sector of the front on Thursday afternoon.	maniacs	criminals	crimes	machine	troops	veterans	forces	leaders	machines	units	planes
The daily death toll in Syria has declined as the number of observers has risen, but few experts expect the U.N. plan to succeed in its entirety.	observers	refugees	militants	fighters	rebels	civilians	wounded	combatants	casualties	insurgents	fighting
An amateur video showed a young girl who apparently suffered shrapnel wounds in her thigh undergoing treatment in a makeshift Rastan hospital while screaming in pain.	shrapnel	gunshot	bullet	stab	knife	minor	multiple	severe	serious	battle	arrow
A local witness said a separate group of attackers disguised in burqas — the head-to-toe robes worn by conservative Afghan women — then tried to storm the compound.	disguised	dressed	disguised	clad	clothed	dress	dressing	draped	wrapped	appeared	armed
Syria's Sunni majority is at the forefront of the uprising against Assad, whose minority Alawite sect is an offshoot of Shi'ite Islam.	offshoot	opponent	enemy	ally	arm	extension	affiliate	element	adversary	expression	advocate
Although not as rare in the symphonic literature as sharper keys , examples of symphonies in A major are not as numerous as for D major or G major .	symphonic	music	musical	classical	technical	scholarly	concert	orchestral	scientific	academic	piano
That prompted the military to deploy its largest warship, the BRP Gregorio del Pilar, which was recently acquired from the United States.	deploy	build	purchase	construct	acquire	seize	rebuild	order	destroy	launch	raise
 UK police were expressly forbidden, at a ministerial level, to provide any assistance to Thai authorities as the case involves the death penalty.	authorities	victims	citizens	suspects	prisoners	police	authorities	nationals	refugees	people	criminals
