A Spanish government source, however, later said that banks able to cover by themselves losses on their toxic property assets will not be forced to remove them from their books while it will be compulsory for those receiving public help.	compulsory	easier	difficult	harder	cheaper	legal	available	hard	safe	useful	better
Rajoy's conservative government had instilled markets with a brief dose of confidence by stepping into Bankia, performing a U-turn on its refusal to spend public money to rescue banks.	instilled	flooded	hit	left	provided	the	entered	stunned	threatened	battered	seized
War maniacs of the South Korean puppet military made another grave provocation to the DPRK in the central western sector of the front on Thursday afternoon.	maniacs	opponents	supporters	crimes	veterans	leaders	cries	criminals	troops	forces	efforts
The daily death toll in Syria has declined as the number of observers has risen, but few experts expect the U.N. plan to succeed in its entirety.	observers	victims	deaths	people	refugees	dead	casualties	civilians	fatalities	soldiers	prisoners
An amateur video showed a young girl who apparently suffered shrapnel wounds in her thigh undergoing treatment in a makeshift Rastan hospital while screaming in pain.	shrapnel	gunshot	stab	bullet	from	minor	multiple	head	some	several	the
A local witness said a separate group of attackers disguised in burqas — the head-to-toe robes worn by conservative Afghan women — then tried to storm the compound.	disguised	dressed	clad	covered	wrapped	armed	gathered	draped	posed	appeared	disguised
Syria's Sunni majority is at the forefront of the uprising against Assad, whose minority Alawite sect is an offshoot of Shi'ite Islam.	offshoot	ally	enemy	element	opponent	icon	emblem	offspring	extension	ideology	outpost
Although not as rare in the symphonic literature as sharper keys , examples of symphonies in A major are not as numerous as for D major or G major .	symphonic	classical	english	orchestral	modern	baroque	music	musical	symphonic	greek	popular
That prompted the military to deploy its largest warship, the BRP Gregorio del Pilar, which was recently acquired from the United States.	deploy	acquire	purchase	build	buy	abandon	sell	launch	develop	use	order
 UK police were expressly forbidden, at a ministerial level, to provide any assistance to Thai authorities as the case involves the death penalty.	authorities	nationals	citizens	authorities	police	victims	civilians	officers	soldiers	prisoners	officials
