A Spanish government source, however, later said that banks able to cover by themselves losses on their toxic property assets will not be forced to remove them from their books while it will be compulsory for those receiving public help.	compulsory	compulsory	mandatory	mandated	voluntary	obligatory	statutory	redundant	enforced	routine	relevant
Rajoy's conservative government had instilled markets with a brief dose of confidence by stepping into Bankia, performing a U-turn on its refusal to spend public money to rescue banks.	instilled	infused	injected	filled	inst	invested	illed	impressed	infected	revived	endowed
War maniacs of the South Korean puppet military made another grave provocation to the DPRK in the central western sector of the front on Thursday afternoon.	maniacs	maniac	s	mercenaries	killers	militias	thugs	fighters	criminals	troops	murderers
The daily death toll in Syria has declined as the number of observers has risen, but few experts expect the U.N. plan to succeed in its entirety.	observers	observers	monitors	demonstrators	participants	opponents	advisors	experts	observer	supervisors	analysts
An amateur video showed a young girl who apparently suffered shrapnel wounds in her thigh undergoing treatment in a makeshift Rastan hospital while screaming in pain.	shrapnel	gunshot	rapnel	bullet	gunfire	grenade	gun	rifle	mortar	sh	shell
A local witness said a separate group of attackers disguised in burqas — the head-to-toe robes worn by conservative Afghan women — then tried to storm the compound.	disguised	disguised	cloaked	masked	dressed	concealed	clothed	disguise	clad	recognised	portrayed
Syria's Sunni majority is at the forefront of the uprising against Assad, whose minority Alawite sect is an offshoot of Shi'ite Islam.	offshoot	shoot	affiliate	extension	outpost	adherent	offspring	ally	adaptation	off	off
Although not as rare in the symphonic literature as sharper keys , examples of symphonies in A major are not as numerous as for D major or G major .	symphonic	musical	classical	harmonic	music	popular	onic	sym	canonical	instrumental	piano
That prompted the military to deploy its largest warship, the BRP Gregorio del Pilar, which was recently acquired from the United States.	deploy	deploy	deployed	deployment	mobilize	dispatch	ploy	employ	deploying	deploy	maneuver
 UK police were expressly forbidden, at a ministerial level, to provide any assistance to Thai authorities as the case involves the death penalty.	authorities	authorities	authorities	officials	police	authority	regulators	arrests	governments	authorities	colleagues
