A Spanish government source, however, later said that banks able to cover by themselves losses on their toxic property assets will not be forced to remove them from their books while it will be compulsory for those receiving public help.	compulsory	obligatory	mandatory	optional	forbidden	illegal	mandated	voluntary	universal	required	prohibited
Rajoy's conservative government had instilled markets with a brief dose of confidence by stepping into Bankia, performing a U-turn on its refusal to spend public money to rescue banks.	instilled	infused	blessed	cultivated	brought	created	educated	coated	placed	stamped	developed
War maniacs of the South Korean puppet military made another grave provocation to the DPRK in the central western sector of the front on Thursday afternoon.	maniacs	monsters	zombies	monkeys	thugs	minions	bosses	killers	machines	followers	masters
The daily death toll in Syria has declined as the number of observers has risen, but few experts expect the U.N. plan to succeed in its entirety.	observers	monitors	analysts	observations	reporters	specialists	witnesses	participants	experts	diplomats	observation
An amateur video showed a young girl who apparently suffered shrapnel wounds in her thigh undergoing treatment in a makeshift Rastan hospital while screaming in pain.	shrapnel	bullet	gunshot	stab	knife	sharp	stabbing	bloody	superficial	surgical	burn
A local witness said a separate group of attackers disguised in burqas — the head-to-toe robes worn by conservative Afghan women — then tried to storm the compound.	disguised	dressed	masked	clad	clothed	dressing	posing	concealed	wrapped	armed	hidden
Syria's Sunni majority is at the forefront of the uprising against Assad, whose minority Alawite sect is an offshoot of Shi'ite Islam.	offshoot	extension	outpost	subset	extract	adjunct	isolate	affiliate	aggregation	aspect	echo
Although not as rare in the symphonic literature as sharper keys , examples of symphonies in A major are not as numerous as for D major or G major .	symphonic	symphony	orchestral	concerto	choral	operatic	instrumental	vocal	concert	composing	classical
That prompted the military to deploy its largest warship, the BRP Gregorio del Pilar, which was recently acquired from the United States.	deploy	deployment	employ	activate	utilize	dispatch	install	use	launch	station	commit
 UK police were expressly forbidden, at a ministerial level, to provide any assistance to Thai authorities as the case involves the death penalty.	authorities	officials	police	agencies	magistrates	administration	enforcement	administrations	courts	departments	prosecutors
